id,texto
1,O tema é Mudanças climáticas e responsabilidade individual. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
2,O tema é Desafios da educação pública no Brasil. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
3,O tema é Preconceito e discriminação no século XXI. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
4,O tema é A influência da tecnologia no mercado de trabalho. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
5,O tema é Desigualdade social e seus efeitos. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
6,O tema é Saúde mental entre os jovens. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
7,O tema é Consumo sustentável: utopia ou realidade?. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
8,O tema é Mobilidade urbana nas grandes cidades. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
9,O tema é O impacto das redes sociais nas relações pessoais. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
10,O tema é O papel da arte na transformação social. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.

11,O tema é O papel da arte na transformação social. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
12,O tema é Desafios da educação pública no Brasil. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
13,O tema é Mudanças climáticas e responsabilidade individual. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
14,O tema é A influência da tecnologia no mercado de trabalho. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
15,O tema é Saúde mental entre os jovens. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
16,O tema é Preconceito e discriminação no século XXI. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
17,O tema é Desigualdade social e seus efeitos. Esse é um problema. As pessoas não ligam. Isso é ruim. A sociedade precisa mudar isso. O governo tem culpa. O tema precisa ser discutido mais. As pessoas sofrem por causa disso. O tema é importante. A mudança é necessária.
